line_id,process_id,step_seq,ppid,eqp_id,eqp_chamber,lot_type,lot_id,root_lot_id,wafer_id,tkout_time,fab_value,metro_step_seq,item_id
LINE_A,PRC_01,STP_012,PPID_BETA,EQP_5,EQP_5_CH4,P_1,A0001.1,A0055,14,2026-02-01 00:06:44,23.73880546209188,MET_034,ITEM_Y
LINE_A,PRC_01,STP_012,PPID_BETA,EQP_5,EQP_5_CH3,P_1,A0001.1,A0022,6,2026-02-01 00:13:30,28.344024150656104,MET_034,ITEM_Y
LINE_A,PRC_01,STP_012,PPID_BETA,EQP_2,EQP_2_CH4,P_1,A0001.1,A0026,14,2026-02-01 00:55:20,29.21020524277864,MET_034,ITEM_Y
LINE_A,PRC_01,STP_012,PPID_BETA,EQP_2,EQP_2_CH4,P_1,A0001.1,A0050,5,2026-02-01 01:30:47,26.513616376805093,MET_034,ITEM_Y
LINE_A,PRC_01,STP_012,PPID_BETA,EQP_4,EQP_4_CH2,P_1,A0001.1,A0032,11,2026-02-01 02:03:59,26.856740905094824,MET_034,ITEM_Y
LINE_A,PRC_01,STP_012,PPID_BETA,EQP_1,EQP_1_CH1,P_1,A0001.1,A0021,25,2026-02-01 02:12:57,27.007637056160284,MET_034,ITEM_Y
LINE_A,PRC_01,STP_012,PPID_BETA,EQP_3,EQP_3_CH1,P_1,A0001.1,A0034,22,2026-02-01 02:51:11,23.27558209630556,MET_034,ITEM_Y
LINE_A,PRC_01,STP_012,PPID_BETA,EQP_4,EQP_4_CH4,P_1,A0001.1,A0027,19,2026-02-01 03:57:29,25.376942648664016,MET_034,ITEM_Y
LINE_A,PRC_01,STP_012,PPID_BETA,EQP_1,EQP_1_CH1,P_1,A0001.1,A0047,20,2026-02-01 04:03:45,29.940353719275866,MET_034,ITEM_Y
LINE_A,PRC_01,STP_012,PPID_BETA,EQP_4,EQP_4_CH4,P_1,A0001.1,A0008,23,2026-02-01 04:23:18,25.97299661022269,MET_034,ITEM_Y
LINE_A,PRC_01,STP_012,PPID_BETA,EQP_2,EQP_2_CH4,P_1,A0001.1,A0028,8,2026-02-01 04:31:19,22.688511941769143,MET_034,ITEM_Y
LINE_A,PRC_01,STP_012,PPID_BETA,EQP_5,EQP_5_CH3,P_1,A0001.1,A0052,2,2026-02-01 05:20:55,34.0989855081727,MET_034,ITEM_Y
LINE_A,PRC_01,STP_012,PPID_BETA,EQP_4,EQP_4_CH2,P_1,A0001.1,A0041,21,2026-02-01 05:27:23,31.94972123060085,MET_034,ITEM_Y
